"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 14 17:09:37 NOVT 2024","Sat Dec 14 17:09:39 NOVT 2024","2290","","Конструктор","","src.ConstructorTest","testClickSauceTabChrome","Проверка кликабельности соусов","Успешный выбор соусов"
"broken","Sat Dec 14 17:10:26 NOVT 2024","Sat Dec 14 17:10:32 NOVT 2024","6590","","Регистрация","","src.RegistrationUserTest","testRegistrationYandex","Регистрация в Yandex","Успешная регистрация в Yandex"
"failed","Sat Dec 14 17:09:32 NOVT 2024","Sat Dec 14 17:09:37 NOVT 2024","4655","","Конструктор","","src.ConstructorTest","testClickIngredientsTabYandex","Проверка кликабельности ингридиентов","Успешный выбор ингридиентов"
"passed","Sat Dec 14 17:09:49 NOVT 2024","Sat Dec 14 17:09:54 NOVT 2024","4937","","Логирование - Вход","","src.LoginTest","testLoginRegistrationFormYandex","Вход через кнопку в форме регистрации",""
"failed","Sat Dec 14 17:09:26 NOVT 2024","Sat Dec 14 17:09:32 NOVT 2024","5922","","Конструктор","","src.ConstructorTest","testClickBunTabYandex","Проверка кликабельности булок","Успешный выбор булочек"
"passed","Sat Dec 14 17:09:44 NOVT 2024","Sat Dec 14 17:09:47 NOVT 2024","2318","","Конструктор","","src.ConstructorTest","testClickBunTabChrome","Проверка кликабельности булок","Успешный выбор булочек"
"passed","Sat Dec 14 17:10:01 NOVT 2024","Sat Dec 14 17:10:04 NOVT 2024","2546","","Логирование - Вход","","src.LoginTest","testLoginRecoverPasswordPageChrome","Вход через кнопку в форме восстановления пароля",""
"passed","Sat Dec 14 17:10:23 NOVT 2024","Sat Dec 14 17:10:26 NOVT 2024","2761","","Регистрация","","src.RegistrationUserTest","nonTestRegistrationChrome","Регистрация в Chrome","Ошибка при указании неверного пароля"
"passed","Sat Dec 14 17:10:16 NOVT 2024","Sat Dec 14 17:10:19 NOVT 2024","2178","","Логирование - Вход","","src.LoginTest","testLoginRegistrationFormChrome","Вход через кнопку в форме регистрации",""
"passed","Sat Dec 14 17:10:33 NOVT 2024","Sat Dec 14 17:10:38 NOVT 2024","5162","","Регистрация","","src.RegistrationUserTest","nonTestRegistrationYandex","Регистрация в Yandex","Ошибка при указании неверного пароля"
"passed","Sat Dec 14 17:09:39 NOVT 2024","Sat Dec 14 17:09:44 NOVT 2024","5090","","Конструктор","","src.ConstructorTest","testClickSauceTabYandex","Проверка кликабельности соусов","Успешный выбор соусов"
"passed","Sat Dec 14 17:10:07 NOVT 2024","Sat Dec 14 17:10:11 NOVT 2024","4747","","Логирование - Вход","","src.LoginTest","testLoginRecoverPasswordPageYandex","Вход через кнопку в форме восстановления пароля",""
"passed","Sat Dec 14 17:09:56 NOVT 2024","Sat Dec 14 17:10:01 NOVT 2024","5099","","Логирование - Вход","","src.LoginTest","testLoginPersonalAccountButtonYandex","Вход через кнопку «Личный кабинет»","Успешный вход через кнопку «Личный кабинет»"
"passed","Sat Dec 14 17:10:11 NOVT 2024","Sat Dec 14 17:10:16 NOVT 2024","5067","","Логирование - Вход","","src.LoginTest","testLoginEnterAccountButtonYandex","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Sat Dec 14 17:10:19 NOVT 2024","Sat Dec 14 17:10:23 NOVT 2024","4598","","Регистрация","","src.RegistrationUserTest","testRegistrationChrome","Регистрация в Chrome","Успешная регистрация в Chrome"
"passed","Sat Dec 14 17:09:47 NOVT 2024","Sat Dec 14 17:09:49 NOVT 2024","2308","","Конструктор","","src.ConstructorTest","testClickIngredientsTabChrome","Проверка кликабельности ингридиентов","Успешный выбор ингридиентов"
"passed","Sat Dec 14 17:09:54 NOVT 2024","Sat Dec 14 17:09:56 NOVT 2024","2481","","Логирование - Вход","","src.LoginTest","testLoginPersonalAccountButtonChrome","Вход через кнопку «Личный кабинет»","Успешный вход через кнопку «Личный кабинет»"
"passed","Sat Dec 14 17:10:04 NOVT 2024","Sat Dec 14 17:10:07 NOVT 2024","2613","","Логирование - Вход","","src.LoginTest","testLoginEnterAccountButtonChrome","Вход по кнопке «Войти в аккаунт» на главной",""
